_id,name,abbreviation,homeurl,usesmicrodata,usesogp,usesrdf,usesxml,language,consumerprotectionurl,correctionsurl,bankingurl,notes,onlinevoterreg,votingurl,checkvoterreg,pscurl,mvadmvurl
1,alabama,AL,http://www.alabama.gov/,1,0,1,1,,http://www.ago.state.al.us/,http://www.doc.state.al.us/,http://www.banking.alabama.gov/,,,https://www.alabamavotes.gov/olvr/intro.aspx,https://myinfo.alabamavotes.gov/VoterView/RegistrantSearch.do,http://www.psc.state.al.us/,http://ador.alabama.gov/motorvehicle/
2,alaska,AK,http://alaska.gov/,0,1,1,0,,,,,,,https://voterregistration.alaska.gov/Registration/RegistrationDetails?haveValidAKDL=true,https://myvoterinformation.alaska.gov,,
3,arizona,AZ,http://az.gov/,0,0,1,1,,,,,,,https://servicearizona.com/webapp/evoter/register?execution=e1s2,https://voter.azsos.gov/VoterView/RegistrantSearch.do,,
4,arkansas,AR,http://www.arkansas.gov/,1,0,1,0,,,,,,,http://www.sos.arkansas.gov/elections/Pages/request-app-through-mail.aspx,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do,,
5,california,CA,http://www.ca.gov/,0,1,1,0,,,,,,,https://covr.sos.ca.gov/?language=en-US,http://www.sos.ca.gov/elections/registration-status/,,
6,colorado,CO,http://www.colorado.gov/,0,1,1,1,,,,,,,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/findVoterReg.xhtml,,
7,connecticut,CT,http://www.ct.gov/,0,1,1,1,,,,,,,https://voterregistration.ct.gov/OLVR/welcome.do,http://www.sots.ct.gov/sots/cwp/view.asp?a=3172&q=512796,,
8,district-of-columbia,DC,http://www.dc.gov,1,0,1,1,,,,,,,https://www.vote4dc.com/ApplyInstructions/Register,https://www.dcboee.org/voter_info/reg_status/,,
9,delaware,DE,http://www.delaware.gov/,1,0,0,0,,,,,,,https://ivote.de.gov/voterlogin.aspx,https://ivote.de.gov/voterlogin.aspx,,
10,florida,FL,http://www.myflorida.com/,0,0,0,0,,,,,,,http://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/,http://registration.elections.myflorida.com/CheckVoterStatus,,
11,georgia,GA,http://www.georgia.gov/,0,1,0,0,,,,,,,https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button,https://www.mvp.sos.ga.gov/MVP/mvp.do,,
12,hawaii,HI,http://portal.ehawaii.gov/,1,1,0,0,,,,,,,https://olvr.hawaii.gov/register.aspx,https://olvr.hawaii.gov/register.aspx,,
13,idaho,ID,http://www.idaho.gov/home/index.html,0,0,0,1,,,,,no online voter reg,0,http://www.idahovotes.gov/VoterReg/voter_registration.pdf,http://www.idahovotes.gov/YPP_NEW/AmIRegistered.aspx,,
14,illinois,IL,http://www.illinois.gov/Pages/default.aspx,0,0,0,0,,,,,aspx; multipage voter reg,1,https://ova.elections.il.gov/,http://www.elections.il.gov/VotingInformation/RegistrationLookup.aspx,,
15,indiana,IN,http://www.in.gov/,1,1,1,0,,,,,aspx; ,1,https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?Link=Polling,https://indianavoters.in.gov/PublicSite/Public/FT1/PublicLookupMain.aspx?Link=Registration,,
16,iowa,IA,http://www.iowa.gov/,1,0,1,1,,,,,aspx;,1,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration,https://sos.iowa.gov/elections/voterreg/regtovote/search.aspx,,
17,kansas,KS,http://www.kansas.gov/,1,1,0,0,,,,,j2ee/do for voter check; aspx for voter reg,1,https://www.kdor.org/voterregistration/Default.aspx?ref=voteusa,https://myvoteinfo.voteks.org/VoterView/RegistrantSearch.do,,
18,kentucky,KY,http://www.kentucky.gov/Pages/home.aspx,0,0,0,1,,,,,aspx;,1,https://vrsws.sos.ky.gov/ovrweb/,https://vrsws.sos.ky.gov/vic/,,
19,louisiana,LA,http://www.louisiana.gov/,1,0,0,1,,,,,no voter reg check,1,https://voterportal.sos.la.gov/VoterRegistration,,,
20,maine,ME,http://www.maine.gov/portal/index.html,0,1,0,0,,,,,none,0,http://www.maine.gov/sos/cec/elec/data/voterregcard2012.pdf,,,
21,maryland,MD,http://www.maryland.gov/,0,0,0,0,,,,,aspx form,1,https://voterservices.elections.maryland.gov/OnlineVoterRegistration/,https://voterservices.elections.maryland.gov/VoterSearch,,
22,massachusetts,MA,http://www.mass.gov/portal/,0,1,1,0,,,,,aspx form,1,https://www.sec.state.ma.us/ovr/,https://www.sec.state.ma.us/VoterRegistrationSearch/MyVoterRegStatus.aspx,,
23,michigan,MI,http://www.michigan.gov/,0,1,1,1,,,,,no voter reg check,0,,https://vote.michigan.gov/mvic/,,
24,minnesota,MN,http://www.mn.gov/portal/,1,1,1,0,,,,,aspx form,1,https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationMain.aspx,https://mnvotes.sos.state.mn.us/VoterStatus.aspx,,
25,mississippi,MS,http://www.mississippi.gov/Pages/default.aspx,0,1,0,1,,,,,no online voter reg,0,http://www.sos.ms.gov/Elections-Voting/Documents/Voter_Registration.pdf,,,
26,missouri,MO,http://www.mo.gov/,1,0,0,1,,,,,no online voter reg,0,https://www.sos.mo.gov/votemissouri/request,https://s1.sos.mo.gov/elections/voterlookup/,,
27,montana,MT,http://mt.gov/,1,1,1,1,,,,,,0,http://www.sos.mt.gov/elections/Officials/Forms/documents/Voter-Registration-Application.pdf,https://app.mt.gov/cgi-bin/voterinfo/voterinfo.cgi,,
28,nebraska,NE,http://www.nebraska.gov/,0,1,1,0,,,,,,1,https://www.nebraska.gov/apps-sos-voter-registration/?ref=voteusa,https://www.votercheck.necvr.ne.gov/VoterView/RegistrantSearch.do,,
29,nevada,NV,http://nv.gov/,1,0,0,1,,,,,,1,https://nvsos.gov/sosvoterservices/Registration/step1.aspx,https://nvsos.gov/votersearch/,,
30,new-hampshire,NH,https://www.nh.gov/,0,1,0,1,,,,,no online voter reg,0,http://sos.nh.gov/Elections.aspx,,,
31,new-jersey,NJ,http://www.state.nj.us/,1,0,0,1,,,,,,0,http://www.njelections.org/voting-information.html,https://voter.njsvrs.com/PublicAccess/servlet/com.saber.publicaccess.control.PublicAccessNavigationServlet?USERPROCESS=PublicSearch,,
32,new-mexico,NM,http://www.newmexico.gov/,1,1,0,0,,,,,,1,https://portal.sos.state.nm.us/OVR/(S(4hlbisjwvitf2uufzogfckge))/WebPages/InstructionsStep1.aspx?ref=voteusa&AspxAutoDetectCookieSupport=1,https://voterview.state.nm.us/VoterView/RegistrantSearch.do,,
33,new-york,NY,http://www.ny.gov/,0,0,0,1,,,,,,0,,https://voterlookup.elections.state.ny.us/votersearch.aspx,,
34,north-carolina,NC,http://nc.gov/,1,0,0,0,,,,,,0,http://ncsbe.azurewebsites.net/Portals/0/FilesP/NCVRRegFormv102013eng.pdf,http://ncsbe.azurewebsites.net/voter-info,,
35,north-dakota,ND,http://www.nd.gov/,0,0,1,1,,,,,no voter regsitration required,0,,https://vip.sos.nd.gov/WhereToVote.aspx?tab=AddressandVotingTimes,,
36,ohio,OH,http://www.ohio.gov/,1,1,0,1,,,,,voter services executed by county,0,http://www.sos.state.oh.us/sos/upload/elections/forms/4010.pdf,http://www.sos.state.oh.us/SOS/Upload/sites/ballotTracking/ballotTracking.aspx?page=20547,,
37,oklahoma,OK,http://www.ok.gov/,1,0,1,0,,,,,online voter reg not live yet,0,,https://services.okelections.us/voterSearch.aspx,,
38,oregon,OR,http://www.oregon.gov/pages/index.aspx,1,0,1,0,,,,,.do file,1,https://secure.sos.state.or.us/orestar/vr/register.do?lang=eng&source=SOS,https://secure.sos.state.or.us/orestar/vr/showVoterSearch.do?lang=eng&source=SOS,,
39,pennsylvania,PA,http://www.pa.gov/Pages/default.aspx#.VSPff_nF-aU,1,1,1,0,,,,,aspx form,1,https://www.pavoterservices.state.pa.us/Pages/VoterRegistrationApplication.aspx,https://www.pavoterservices.state.pa.us/Pages/VoterRegistrationStatus.aspx,,
40,rhode-island,RI,https://www.ri.gov/,1,1,0,0,,,,,no voter reg or reg check,0,http://www.elections.state.ri.us/publications/Election_Publications/Voter_Registration/December_2012_RI_English_VRF.pdf,,,
41,south-carolina,SC,http://sc.gov/Pages/default.aspx,0,0,0,0,,,,,scvotes.org,1,https://info.scvotes.sc.gov/eng/ovr/start.aspx,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo,,
42,south-dakota,SD,http://sd.gov/,0,0,1,1,,,,,aspx form,0,https://sdsos.gov/elections-voting/assets/FinalVoterRegistrationForm11.16.12.pdf,https://sos.sd.gov/Elections/VIPLogin.aspx,,
43,tennessee,TN,http://www.tn.gov/,1,0,0,0,,,,,no online voter reg; just option to populate,0,http://sos.tn.gov/node/5996,https://tnmap.tn.gov/voterlookup/,,
44,texas,TX,http://www.texas.gov/en/Pages/default.aspx,1,1,1,0,,,,,"multiple options for voter reg check; no online voter reg submission, just populates form to print",0,https://webservices.sos.state.tx.us/vrapp/index.asp,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,,
45,utah,UT,http://www.utah.gov/index.html,0,0,1,1,,,,,no voter reg check?,1,https://secure.utah.gov/voterreg/index.html,,,
46,vermont,VT,http://vermont.gov/portal/,1,0,1,1,,,,,no voter reg check?,1,https://olvr.sec.state.vt.us/Registration/RegistrationDetails,,,
47,virginia,VA,http://www.virginia.gov/,1,0,1,0,,,,,,1,https://vote.elections.virginia.gov/Registration/Eligibility,https://vote.elections.virginia.gov/VoterInformation,,
48,washington,WA,http://access.wa.gov/,1,0,0,1,,,,,,1,https://www.sos.wa.gov/elections/myvote/olvr.html?language=en,https://weiapplets.sos.wa.gov/MyVote/#/login,,
49,west-virginia,WV,http://www.wv.gov/Pages/default.aspx#home,0,0,1,0,,,,,,1,https://ovr.sos.wv.gov/Register#Qualifications,https://services.sos.wv.gov/Elections/Voter/AmIRegisteredToVote,,
50,wisconsin,WI,https://www.wisconsin.gov/Pages/home.aspx,0,1,0,0,,,,,aspx; one form for search and registration,1,https://myvote.wi.gov/Voter/VoterSearchScreen.aspx,https://myvote.wi.gov/Voter/VoterSearchScreen.aspx,,
51,wyoming,WY,http://www.wyo.gov/,1,0,0,1,,,,,,0,http://soswy.state.wy.us/Forms/Elections/General/VoterRegistrationForm.pdf,,,